Respondent,Country,Student,Employment,YearsCoding,YearsCodingProf,Currency,Salary,SalaryType,ConvertedSalary
327,United Kingdom,"Yes, full-time",Employed full-time,0-2 years,0-2 years,British pounds sterling (£),16875,Yearly,23440
328,Italy,No,Employed full-time,24-26 years,21-23 years,Euros (€),35000,Yearly,42836
330,Turkey,No,Employed full-time,9-11 years,NA,NA,NA,NA,NA
332,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),228000,Yearly,3569
333,Italy,No,Employed full-time,12-14 years,9-11 years,NA,NA,NA,NA
334,Denmark,"Yes, full-time",Employed part-time,6-8 years,0-2 years,NA,NA,NA,NA
337,Ukraine,No,Employed full-time,9-11 years,9-11 years,NA,NA,Monthly,NA
338,United States,No,Employed full-time,9-11 years,9-11 years,U.S. dollars ($),95000,Monthly,1140000
340,India,"Yes, full-time",Employed full-time,3-5 years,3-5 years,Indian rupees (₹),120000,Yearly,1879
342,United Kingdom,"Yes, full-time",Employed full-time,9-11 years,6-8 years,NA,NA,NA,NA
343,United States,No,Employed full-time,15-17 years,12-14 years,NA,NA,NA,NA
344,Germany,NA,Employed full-time,12-14 years,3-5 years,Euros (€),65000,Yearly,79552
345,France,"Yes, full-time",Employed part-time,6-8 years,NA,NA,NA,NA,NA
346,India,No,Employed full-time,15-17 years,12-14 years,NA,3000000,Yearly,46963
348,Poland,No,Employed full-time,3-5 years,0-2 years,Polish złoty (zł),NA,NA,NA
350,India,"Yes, full-time",Employed full-time,15-17 years,6-8 years,Indian rupees (₹),520000,Yearly,8140
351,India,No,Employed full-time,9-11 years,0-2 years,Indian rupees (₹),NA,NA,NA
352,United States,"Yes, full-time",Employed full-time,15-17 years,9-11 years,U.S. dollars ($),81000,Yearly,81000
354,Greece,No,Employed full-time,9-11 years,9-11 years,Euros (€),30000,Monthly,440592
355,India,No,Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
357,Colombia,"Yes, full-time",Employed full-time,6-8 years,3-5 years,NA,4800000,Monthly,20244
359,Lebanon,"Yes, part-time",Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
360,Croatia,No,Employed full-time,6-8 years,6-8 years,NA,110000,NA,NA
361,Poland,No,Employed full-time,3-5 years,3-5 years,Polish złoty (zł),9500,Monthly,33528
362,United States,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),65000,Yearly,65000
363,Brazil,No,Employed full-time,9-11 years,9-11 years,Brazilian reais (R$),5800,Monthly,21708
364,Germany,No,Employed full-time,15-17 years,6-8 years,Euros (€),48000,NA,58746
365,Indonesia,No,Employed full-time,9-11 years,3-5 years,NA,NA,NA,NA
366,United Kingdom,No,Employed full-time,12-14 years,6-8 years,British pounds sterling (£),38000,Yearly,52783
367,Slovakia,No,Employed full-time,9-11 years,3-5 years,Euros (€),2200,Monthly,32316
368,United States,"Yes, part-time",Employed full-time,3-5 years,NA,NA,NA,NA,NA
369,United States,"Yes, full-time",Employed part-time,6-8 years,NA,U.S. dollars ($),NA,NA,NA
371,"Iran, Islamic Republic of...",No,Employed full-time,6-8 years,3-5 years,NA,NA,Monthly,NA
372,Russian Federation,No,Employed full-time,0-2 years,0-2 years,Russian rubles (₽),40000,Monthly,8496
373,Portugal,No,Employed full-time,12-14 years,9-11 years,Euros (€),37500,Yearly,45895
374,Belgium,"Yes, full-time",Employed full-time,21-23 years,21-23 years,Euros (€),NA,NA,NA
377,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),60000,Yearly,60000
378,Germany,"Yes, full-time",Employed full-time,21-23 years,3-5 years,Euros (€),650,Monthly,9552
379,Mexico,No,Employed full-time,9-11 years,3-5 years,Mexican pesos (MXN$),7000,Monthly,4512
380,India,"Yes, full-time",Employed full-time,6-8 years,6-8 years,Indian rupees (₹),2460000,Yearly,38510
382,United Kingdom,No,Employed full-time,3-5 years,0-2 years,NA,NA,NA,NA
383,United States,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),105000,Yearly,105000
384,United Kingdom,No,Employed full-time,9-11 years,0-2 years,British pounds sterling (£),34000,NA,47227
387,Russian Federation,No,Employed full-time,3-5 years,0-2 years,Russian rubles (₽),98000,Monthly,20808
388,India,"Yes, full-time",Employed full-time,3-5 years,3-5 years,Indian rupees (₹),NA,Monthly,NA
389,Hong Kong (S.A.R.),"Yes, full-time",Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
390,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),100000,Yearly,1.00E+05
391,Spain,No,Employed full-time,3-5 years,3-5 years,Euros (€),24000,Yearly,29373
393,Romania,No,Employed full-time,6-8 years,3-5 years,NA,NA,Monthly,NA
395,Russian Federation,No,Employed full-time,3-5 years,3-5 years,Russian rubles (₽),160000,Monthly,33972
396,Pakistan,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),NA,NA,NA
397,United States,"Yes, full-time",Employed part-time,3-5 years,0-2 years,U.S. dollars ($),52000,Weekly,2.00E+06
398,Sweden,No,Employed full-time,15-17 years,15-17 years,Swedish kroner (SEK),50000,Monthly,74856
399,Italy,No,Employed full-time,12-14 years,9-11 years,Euros (€),36000,Yearly,44060
400,United States,No,Employed full-time,9-11 years,6-8 years,U.S. dollars ($),140000,Yearly,140000
401,Israel,No,Employed full-time,18-20 years,NA,NA,NA,NA,NA
402,India,No,Employed full-time,3-5 years,3-5 years,Indian rupees (₹),38000,Monthly,7140
403,Pakistan,"Yes, full-time",Employed part-time,3-5 years,0-2 years,U.S. dollars ($),NA,NA,NA
404,Norway,No,Employed full-time,3-5 years,3-5 years,Norwegian krone (kr),NA,Monthly,NA
405,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),59500,Yearly,59500
407,Netherlands,No,Employed full-time,15-17 years,NA,NA,NA,NA,NA
409,Netherlands,No,Employed full-time,12-14 years,6-8 years,NA,NA,NA,NA
410,Germany,No,Employed full-time,18-20 years,21-23 years,Euros (€),NA,NA,NA
412,United States,No,Employed full-time,15-17 years,6-8 years,U.S. dollars ($),NA,NA,NA
413,Israel,No,Employed full-time,3-5 years,3-5 years,NA,16000,Monthly,56172
415,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),15000,Monthly,2820
416,United Kingdom,No,Employed full-time,6-8 years,3-5 years,British pounds sterling (£),37000,NA,51394
418,Czech Republic,No,Employed full-time,3-5 years,0-2 years,NA,NA,NA,NA
419,United Kingdom,No,Employed full-time,18-20 years,15-17 years,British pounds sterling (£),60000,Yearly,83342
420,Myanmar,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
421,India,No,Employed full-time,6-8 years,NA,NA,NA,NA,NA
422,United Kingdom,No,Employed full-time,0-2 years,0-2 years,British pounds sterling (£),NA,NA,NA
424,United States,No,Employed full-time,12-14 years,6-8 years,U.S. dollars ($),NA,NA,NA
425,India,"Yes, full-time",Employed full-time,3-5 years,NA,NA,NA,NA,NA
426,United Kingdom,No,Employed full-time,6-8 years,3-5 years,British pounds sterling (£),45000,Yearly,62507
427,Portugal,No,Employed full-time,12-14 years,6-8 years,Euros (€),45000,Yearly,55075
428,Netherlands,"Yes, full-time",Employed part-time,9-11 years,3-5 years,Euros (€),2750,Monthly,40392
430,Spain,No,Employed full-time,12-14 years,9-11 years,NA,NA,NA,NA
431,India,No,Employed full-time,9-11 years,NA,NA,NA,NA,NA
432,Russian Federation,No,Employed full-time,9-11 years,9-11 years,Russian rubles (₽),200000,Monthly,42456
433,United States,No,Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
434,United States,No,Employed full-time,30 or more years,30 or more years,U.S. dollars ($),NA,NA,NA
435,United States,No,Employed full-time,3-5 years,0-2 years,U.S. dollars ($),72500,NA,72500
